"tenantid","applicationno","businessservice","createdtime","applicationdate","status","approvalno","approvaldate"
"od.cuttack","OD-BP-2021-02-12-000003","BPA1","1970-01-01",NULL,"PENDING_APPL_FEE",NULL,NULL
"od.rourkela","BP-RRK-2021-11-16-000159","BPA1","2021-11-24","2021-11-24","APPROVAL_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-10-01-000080","BPA1","1970-01-01",NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"od.cuttack","OD-BP-2021-02-12-000004","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000003","2021-02-12"
"od.cuttack","OD-BP-2021-02-12-000001","BPA1","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000001","2021-02-12"
"od.rourkela","BP-RRK-2021-11-17-000161","BPA1","2021-12-02","2021-12-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.sambalpur","OD-BP-2021-07-14-000073","BPA1","2021-07-16","2021-07-16","CITIZEN_ACTION_PENDING_AT_DOC_VERIF",NULL,NULL
"od.rourkela","BP-RRK-2021-09-21-000079","BPA1","1970-01-01",NULL,"APPROVED","BP/RRK/000009","2021-11-24"
"od.rourkela","BP-RRK-2021-12-03-000173","BPA1",NULL,NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"od.rourkela","BP-RRK-2021-11-16-000155","BPA1","2021-12-02","2021-12-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.sambalpur","BP-SMB-2021-09-03-000075","BPA1","2021-09-03","2021-09-03","APPROVED","BP-SMB-2021-09-07-000004","2021-09-07"
"od.berhampur","BP-BAM-2021-11-16-000157","BPA1","2021-11-16","2021-11-16","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.cuttack","BP-CTC-2021-12-02-000171","BPA1","2021-12-04","2021-12-04","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-09-13-000078","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000005","2021-09-18"
"od.rourkela","BP-RRK-2021-11-20-000166","BPA1","2021-11-23","2021-11-23","APPROVED","BP/RRK/000013","2021-12-04"
"od.berhampur","BP-BAM-2021-11-20-000164","BPA1","2021-11-20","2021-11-20","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-09-13-000076","BPA1","2021-09-13","2021-09-13","APPROVED","BP/RRK/000007",NULL
"od.rourkela","BP-RRK-2021-11-24-000168","BPA2","2021-12-06","2021-12-06","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-09-13-000077","BPA1",NULL,NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"od.sambalpur","BP-SMB-2021-08-15-000074","BPA2","2021-08-30","2021-08-30","APPROVED","BP/SMB/000006","2021-09-21"
"od.berhampur","BP-BAM-2021-11-15-000152","BPA1","2021-11-15","2021-11-15","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-11-16-000158","BPA1","2021-12-02","2021-12-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-12-02-000172","BPA1","2021-12-02","2021-12-02","FIELDINSPECTION_INPROGRESS",NULL,NULL
"od.rourkela","BP-RRK-2021-11-16-000154","BPA1","2021-12-03","2021-12-03","DOC_VERIFICATION_INPROGRESS",NULL,NULL
"od.cuttack","OD-BP-2021-02-12-000002","BPA3","2021-02-12","2021-02-12","APPROVED","OD-BP-2021-02-12-000002","2021-02-12"
"od.rourkela","BP-RRK-2021-12-03-000174","BPA1",NULL,NULL,"CITIZEN_APPROVAL_INPROCESS",NULL,NULL
"od.berhampur","BP-BAM-2021-11-18-000162","BPA1","2021-11-20","2021-11-20","APPROVED","BP/BAM/000010","2021-11-27"
"od.sambalpur","BP-SMB-2021-11-22-000167","BPA1","2021-11-22","2021-11-22","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.berhampur","BP-BAM-2021-11-18-000163","BPA1","2021-11-19","2021-11-19","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.sambalpur","BP-SMB-2021-11-17-000160","BPA1","2021-11-17","2021-11-17","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.rourkela","BP-RRK-2021-11-25-000169","BPA1","2021-11-25","2021-11-25","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.sambalpur","BP-SMB-2021-11-15-000153","BPA1","2021-11-16","2021-11-16","APPROVED","BP/SMB/000011","2021-12-02"
"od.rourkela","BP-RRK-2021-12-03-000175","BPA1",NULL,NULL,"INITIATED",NULL,NULL
"od.rourkela","BP-RRK-2021-11-25-000170","BPA1","2021-11-29","2021-11-29","APPROVED","BP/RRK/000012","2021-12-03"
"od.rourkela","BP-RRK-2021-11-15-000151","BPA1","2021-12-02","2021-12-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.rourkela","BP-RRK-2021-11-12-000150","BPA2","2021-11-16","2021-11-16","CITIZEN_ACTION_PENDING_AT_APP_L1_VERIF",NULL,NULL
"od.rourkela","BP-RRK-2021-11-16-000156","BPA1","2021-12-02","2021-12-02","PENDING_SANC_FEE_PAYMENT",NULL,NULL
"od.berhampur","BP-BAM-2021-11-20-000165","BPA1","2021-11-20","2021-11-20","PENDING_SANC_FEE_PAYMENT",NULL,NULL
